,序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
167,168,002475,立讯精密,8.52,3863.18,190068.4,2021年4季度股票投资明细
168,169,002415,海康威视,5.37,2292.84,119961.61,2021年4季度股票投资明细
169,170,300454,深信服,5.36,625.89,119545.87,2021年4季度股票投资明细
170,171,300750,宁德时代,5.26,199.84,117503.92,2021年4季度股票投资明细
171,172,300413,芒果超媒,4.29,1710.11,95713.18,2021年4季度股票投资明细
172,173,603799,华友钴业,3.77,763.78,84252.97,2021年4季度股票投资明细
173,174,600660,福耀玻璃,3.07,1453.55,68520.56,2021年4季度股票投资明细
174,175,002466,天齐锂业,2.78,580.09,62069.18,2021年4季度股票投资明细
175,176,002460,赣锋锂业,2.39,373.82,53400.52,2021年4季度股票投资明细
176,177,002709,天赐材料,2.35,458.17,52529.37,2021年4季度股票投资明细
177,178,002311,海大集团,2.3,700.01,51310.46,2021年4季度股票投资明细
178,179,600765,中航重机,2.26,1000.0,50490.0,2021年4季度股票投资明细
179,180,600745,闻泰科技,2.2,380.6,49211.86,2021年4季度股票投资明细
180,181,600673,东阳光,2.07,5203.79,46209.63,2021年4季度股票投资明细
181,182,000792,盐湖股份,1.98,1251.16,44278.69,2021年4季度股票投资明细
182,183,600141,兴发集团,1.9,1117.09,42315.35,2021年4季度股票投资明细
183,184,002714,牧原股份,1.79,750.78,40061.73,2021年4季度股票投资明细
184,185,600516,方大炭素,1.68,3467.78,37521.38,2021年4季度股票投资明细
185,186,603517,绝味食品,1.53,500.01,34052.73,2021年4季度股票投资明细
186,187,300037,新宙邦,1.42,280.92,31743.73,2021年4季度股票投资明细
187,188,002139,拓邦股份,1.33,1589.92,29715.6,2021年4季度股票投资明细
188,189,603520,司太立,1.25,430.0,27950.16,2021年4季度股票投资明细
189,190,600085,同仁堂,1.21,600.01,26988.36,2021年4季度股票投资明细
190,191,600338,西藏珠峰,1.21,714.96,26925.53,2021年4季度股票投资明细
191,192,600150,中国船舶,1.14,1029.76,25527.75,2021年4季度股票投资明细
192,193,688187,时代电气,1.1,300.0,24600.0,2021年4季度股票投资明细
193,194,002555,三七互娱,1.0,828.79,22393.93,2021年4季度股票投资明细
194,195,689009,九号公司,0.95,311.44,21229.25,2021年4季度股票投资明细
195,196,002371,北方华创,0.92,59.43,20623.4,2021年4季度股票投资明细
196,197,300274,阳光电源,0.91,139.21,20296.96,2021年4季度股票投资明细
197,198,002459,晶澳科技,0.87,210.43,19506.86,2021年4季度股票投资明细
198,199,002299,圣农发展,0.85,783.1,18927.5,2021年4季度股票投资明细
199,200,600346,恒力石化,0.84,820.76,18852.78,2021年4季度股票投资明细
200,201,300919,中伟股份,0.8,117.19,17755.93,2021年4季度股票投资明细
201,202,600036,招商银行,0.76,350.0,17048.5,2021年4季度股票投资明细
202,203,600993,马应龙,0.73,569.65,16383.02,2021年4季度股票投资明细
203,204,002837,英维克,0.73,400.0,16356.17,2021年4季度股票投资明细
204,205,688772,珠海冠宇,0.68,314.28,15289.58,2021年4季度股票投资明细
205,206,002245,蔚蓝锂芯,0.64,515.25,14174.53,2021年4季度股票投资明细
206,207,600298,安琪酵母,0.58,213.2,12868.9,2021年4季度股票投资明细
207,208,300761,立华股份,0.53,314.58,11894.27,2021年4季度股票投资明细
208,209,002756,永兴材料,0.5,74.93,11091.14,2021年4季度股票投资明细
209,210,000063,中兴通讯,0.49,330.0,10886.7,2021年4季度股票投资明细
210,211,002895,川恒股份,0.48,430.26,10623.12,2021年4季度股票投资明细
211,212,002812,恩捷股份,0.45,40.2,10066.08,2021年4季度股票投资明细
212,213,600399,抚顺特钢,0.44,400.0,9908.0,2021年4季度股票投资明细
213,214,603659,璞泰来,0.44,61.1,9813.27,2021年4季度股票投资明细
214,215,002025,航天电器,0.44,116.64,9791.93,2021年4季度股票投资明细
215,216,002791,坚朗五金,0.41,50.01,9081.04,2021年4季度股票投资明细
216,217,002271,东方雨虹,0.4,170.0,8955.76,2021年4季度股票投资明细
217,218,002960,青鸟消防,0.39,180.0,8739.21,2021年4季度股票投资明细
218,219,300806,斯迪克,0.37,140.0,8260.0,2021年4季度股票投资明细
219,220,600026,中远海能,0.37,1390.22,8230.1,2021年4季度股票投资明细
220,221,688099,晶晨股份,0.36,61.39,7992.98,2021年4季度股票投资明细
221,222,002984,森麒麟,0.32,200.0,7114.0,2021年4季度股票投资明细
222,223,300223,北京君正,0.28,46.15,6184.1,2021年4季度股票投资明细
223,224,300681,英搏尔,0.27,60.0,6132.0,2021年4季度股票投资明细
224,225,601058,赛轮轮胎,0.27,400.01,5916.13,2021年4季度股票投资明细
225,226,603477,巨星农牧,0.26,380.12,5891.86,2021年4季度股票投资明细
226,227,000887,中鼎股份,0.2,208.52,4547.82,2021年4季度股票投资明细
