净值日期,单位净值,日增长率
2019-01-02,0.8456,-1.7772
2019-01-03,0.8362,-1.1116
2019-01-04,0.8526,1.9613
2019-01-07,0.865,1.4544
2019-01-08,0.8658,0.0925
2019-01-09,0.8681,0.2657
2019-01-10,0.8638,-0.4953
2019-01-11,0.8703,0.7525
2019-01-14,0.8616,-0.9997
2019-01-15,0.876,1.6713
2019-01-16,0.8819,0.6735
2019-01-17,0.8772,-0.5329
2019-01-18,0.8957,2.109
2019-01-21,0.9009,0.5806
2019-01-22,0.8889,-1.332
2019-01-23,0.8922,0.3712
2019-01-24,0.8972,0.5604
2019-01-25,0.9005,0.3678
2019-01-28,0.9002,-0.0333
2019-01-29,0.9009,0.0778
2019-01-30,0.8889,-1.332
2019-01-31,0.8963,0.8325
2019-02-01,0.9123,1.7851
2019-02-11,0.9333,2.3019
2019-02-12,0.9397,0.6857
2019-02-13,0.9528,1.3941
2019-02-14,0.953,0.021
2019-02-15,0.9485,-0.4722
2019-02-18,0.9816,3.4897
2019-02-19,0.9748,-0.6927
2019-02-20,0.979,0.4309
2019-02-21,0.9836,0.4699
2019-02-22,1.0136,3.05
2019-02-25,1.0541,3.9957
2019-02-26,1.0512,-0.2751
2019-02-27,1.0414,-0.9323
2019-02-28,1.0454,0.3841
2019-03-01,1.0581,1.2148
2019-03-04,1.0811,2.1737
2019-03-05,1.0958,1.3597
2019-03-06,1.098,0.2008
2019-03-07,1.0796,-1.6758
2019-03-08,1.0774,-0.2038
2019-03-11,1.1074,2.7845
2019-03-12,1.115,0.6863
2019-03-13,1.0804,-3.1031
2019-03-14,1.0803,-0.0093
2019-03-15,1.0915,1.0367
2019-03-18,1.1242,2.9959
2019-03-19,1.1175,-0.596
2019-03-20,1.108,-0.8501
2019-03-21,1.1101,0.1895
2019-03-22,1.1057,-0.3964
2019-03-25,1.0931,-1.1395
2019-03-26,1.0793,-1.2625
2019-03-27,1.0992,1.8438
2019-03-28,1.1113,1.1008
2019-03-29,1.1494,3.4284
2019-04-01,1.1909,3.6106
2019-04-02,1.1768,-1.184
2019-04-03,1.1791,0.1954
2019-04-04,1.1924,1.128
2019-04-08,1.1829,-0.7967
2019-04-09,1.1852,0.1944
2019-04-10,1.1924,0.6075
2019-04-11,1.1657,-2.2392
2019-04-12,1.1678,0.1801
2019-04-15,1.1644,-0.2911
2019-04-16,1.1919,2.3617
2019-04-17,1.1998,0.6628
2019-04-18,1.1956,-0.3501
2019-04-19,1.2061,0.8782
2019-04-22,1.2124,0.5223
2019-04-23,1.2047,-0.6351
2019-04-24,1.2157,0.9131
2019-04-25,1.2016,-1.1598
2019-04-26,1.1904,-0.9321
2019-04-29,1.182,-0.7056
2019-04-30,1.188,0.5076
2019-05-06,1.1216,-5.5892
2019-05-07,1.1262,0.4101
2019-05-08,1.1062,-1.7759
2019-05-09,1.0956,-0.9582
2019-05-10,1.142,4.2351
2019-05-13,1.1319,-0.8844
2019-05-14,1.1287,-0.2827
2019-05-15,1.1539,2.2327
2019-05-16,1.1497,-0.364
2019-05-17,1.1214,-2.4615
2019-05-20,1.0906,-2.7466
2019-05-21,1.1113,1.898
2019-05-22,1.1121,0.072
2019-05-23,1.0829,-2.6257
2019-05-24,1.0799,-0.277
2019-05-27,1.1077,2.5743
2019-05-28,1.1234,1.4174
2019-05-29,1.1217,-0.1513
2019-05-30,1.1228,0.0981
2019-05-31,1.129,0.5522
2019-06-03,1.1383,0.8237
2019-06-04,1.1244,-1.2211
2019-06-05,1.1172,-0.6403
2019-06-06,1.089,-2.5242
2019-06-10,1.1053,1.4968
2019-06-11,1.1368,2.8499
2019-06-12,1.126,-0.95
2019-06-13,1.1297,0.3286
2019-06-14,1.1156,-1.2481
2019-06-17,1.1132,-0.2151
2019-06-18,1.1285,1.3744
2019-06-19,1.1394,0.9659
2019-06-20,1.1559,1.4481
2019-06-21,1.149,-0.5969
2019-06-24,1.1495,0.0435
2019-06-25,1.142,-0.6525
2019-06-26,1.1548,1.1208
2019-06-27,1.1748,1.7319
2019-06-28,1.1745,-0.0255
2019-06-30,1.1745,0.0
2019-07-01,1.2055,2.6394
2019-07-02,1.2167,0.9291
2019-07-03,1.1965,-1.6602
2019-07-04,1.1838,-1.0614
2019-07-05,1.2025,1.5797
2019-07-08,1.1965,-0.499
2019-07-09,1.1974,0.0752
2019-07-10,1.1915,-0.4927
2019-07-11,1.1935,0.1679
2019-07-12,1.1933,-0.0168
2019-07-15,1.2144,1.7682
2019-07-16,1.2122,-0.1812
2019-07-17,1.2139,0.1402
2019-07-18,1.2049,-0.7414
2019-07-19,1.2126,0.6391
2019-07-22,1.2014,-0.9236
2019-07-23,1.2072,0.4828
2019-07-24,1.2237,1.3668
2019-07-25,1.2369,1.0787
2019-07-26,1.2385,0.1294
2019-07-29,1.2478,0.7509
2019-07-30,1.2471,-0.0561
2019-07-31,1.2365,-0.85
2019-08-01,1.2355,-0.0809
2019-08-02,1.2319,-0.2914
2019-08-05,1.2202,-0.9498
2019-08-06,1.2122,-0.6556
2019-08-07,1.2082,-0.33
2019-08-08,1.2242,1.3243
2019-08-09,1.2024,-1.7808
2019-08-12,1.2296,2.2621
2019-08-13,1.2229,-0.5449
2019-08-14,1.2249,0.1635
2019-08-15,1.2207,-0.3429
2019-08-16,1.2252,0.3686
2019-08-19,1.2346,0.7672
2019-08-20,1.2345,-0.0081
2019-08-21,1.2285,-0.486
2019-08-22,1.2295,0.0814
2019-08-23,1.2326,0.2521
2019-08-26,1.2297,-0.2353
2019-08-27,1.2506,1.6996
2019-08-28,1.26,0.7516
2019-08-29,1.2563,-0.2937
2019-08-30,1.2494,-0.5492
2019-09-02,1.2654,1.2806
2019-09-03,1.2717,0.4979
2019-09-04,1.2674,-0.3381
2019-09-05,1.2762,0.6943
2019-09-06,1.2762,0.0
2019-09-09,1.2966,1.5985
2019-09-10,1.2943,-0.1774
2019-09-11,1.2769,-1.3444
2019-09-12,1.2821,0.4072
2019-09-16,1.2806,-0.117
2019-09-17,1.2717,-0.695
2019-09-18,1.2722,0.0393
2019-09-19,1.2837,0.9039
2019-09-20,1.284,0.0234
2019-09-23,1.2734,-0.8255
2019-09-24,1.2797,0.4947
2019-09-25,1.2704,-0.7267
2019-09-26,1.2378,-2.5661
2019-09-27,1.2514,1.0987
2019-09-30,1.2438,-0.6073
2019-10-08,1.2515,0.6191
2019-10-09,1.2565,0.3995
2019-10-10,1.2849,2.2602
2019-10-11,1.2915,0.5137
2019-10-14,1.2964,0.3794
2019-10-15,1.2798,-1.2805
2019-10-16,1.2771,-0.211
2019-10-17,1.2826,0.4307
2019-10-18,1.2776,-0.3898
2019-10-21,1.2759,-0.1331
2019-10-22,1.2906,1.1521
2019-10-23,1.2797,-0.8446
2019-10-24,1.279,-0.0547
2019-10-25,1.2978,1.4699
2019-10-28,1.3139,1.2406
2019-10-29,1.315,0.0837
2019-10-30,1.3065,-0.6464
2019-10-31,1.3021,-0.3368
2019-11-01,1.3104,0.6374
2019-11-04,1.3222,0.9005
2019-11-05,1.3262,0.3025
2019-11-06,1.3148,-0.8596
2019-11-07,1.3197,0.3727
2019-11-08,1.3119,-0.591
2019-11-11,1.293,-1.4407
2019-11-12,1.2971,0.3171
2019-11-13,1.3023,0.4009
2019-11-14,1.3126,0.7909
2019-11-15,1.3009,-0.8914
2019-11-18,1.3052,0.3305
2019-11-19,1.3168,0.8888
2019-11-20,1.3063,-0.7974
2019-11-21,1.2991,-0.5512
2019-11-22,1.2813,-1.3702
2019-11-25,1.2766,-0.3668
2019-11-26,1.2774,0.0627
2019-11-27,1.2713,-0.4775
2019-11-28,1.2705,-0.0629
2019-11-29,1.2579,-0.9917
2019-12-02,1.2574,-0.0397
2019-12-03,1.2619,0.3579
2019-12-04,1.2615,-0.0317
2019-12-05,1.271,0.7531
2019-12-06,1.278,0.5507
2019-12-09,1.2738,-0.3286
2019-12-10,1.2769,0.2434
2019-12-11,1.2765,-0.0313
2019-12-12,1.2761,-0.0313
2019-12-13,1.2938,1.387
2019-12-16,1.2981,0.3324
2019-12-17,1.3059,0.6009
2019-12-18,1.2993,-0.5054
2019-12-19,1.2971,-0.1693
2019-12-20,1.2868,-0.7941
2019-12-23,1.2716,-1.1812
2019-12-24,1.153,0.9122
2019-12-25,1.1552,0.1908
2019-12-26,1.1625,0.6319
2019-12-27,1.1714,0.7656
2019-12-30,1.1845,1.1183
2019-12-31,1.1963,0.9962
2020-01-02,1.2143,1.5046
2020-01-03,1.2149,0.0494
2020-01-06,1.2204,0.4527
2020-01-07,1.2294,0.7375
2020-01-08,1.2186,-0.8785
2020-01-09,1.2326,1.1489
2020-01-10,1.2396,0.5679
2020-01-13,1.2564,1.3553
2020-01-14,1.2477,-0.6925
2020-01-15,1.2462,-0.1202
2020-01-16,1.2544,0.658
2020-01-17,1.2568,0.1913
2020-01-20,1.268,0.8912
2020-01-21,1.2465,-1.6956
2020-01-22,1.2613,1.1873
2020-01-23,1.2198,-3.2903
2020-02-03,1.1329,-7.1241
2020-02-04,1.178,3.9809
2020-02-05,1.1905,1.0611
2020-02-06,1.2169,2.2176
2020-02-07,1.2209,0.3287
2020-02-10,1.2366,1.2859
2020-02-11,1.2429,0.5095
2020-02-12,1.2508,0.6356
2020-02-13,1.2392,-0.9274
2020-02-14,1.2476,0.6779
2020-02-17,1.2837,2.8936
2020-02-18,1.2867,0.2337
2020-02-19,1.2842,-0.1943
2020-02-20,1.3026,1.4328
2020-02-21,1.3112,0.6602
2020-02-24,1.3345,1.777
2020-02-25,1.3506,1.2064
2020-02-26,1.2999,-3.7539
2020-02-27,1.3137,1.0616
2020-02-28,1.2667,-3.5777
2020-03-02,1.3127,3.6315
2020-03-03,1.3191,0.4875
2020-03-04,1.3209,0.1365
2020-03-05,1.3432,1.6882
2020-03-06,1.3315,-0.8711
2020-03-09,1.2979,-2.5235
2020-03-10,1.327,2.2421
2020-03-11,1.3118,-1.1454
2020-03-12,1.287,-1.8905
2020-03-13,1.2729,-1.0956
2020-03-16,1.2101,-4.9336
2020-03-17,1.1908,-1.5949
2020-03-18,1.1701,-1.7383
2020-03-19,1.1758,0.4871
2020-03-20,1.188,1.0376
2020-03-23,1.1483,-3.3418
2020-03-24,1.1773,2.5255
2020-03-25,1.2098,2.7606
2020-03-26,1.2059,-0.3224
2020-03-27,1.2133,0.6136
2020-03-30,1.1945,-1.5495
2020-03-31,1.2112,1.3981
2020-04-01,1.2071,-0.3385
2020-04-02,1.2268,1.632
2020-04-03,1.212,-1.2064
2020-04-07,1.2489,3.0446
2020-04-08,1.2504,0.1201
2020-04-09,1.2631,1.0157
2020-04-10,1.2512,-0.9421
2020-04-13,1.2443,-0.5515
2020-04-14,1.2737,2.3628
2020-04-15,1.2654,-0.6516
2020-04-16,1.272,0.5216
2020-04-17,1.2785,0.511
2020-04-20,1.2963,1.3923
2020-04-21,1.2874,-0.6866
2020-04-22,1.2982,0.8389
2020-04-23,1.2971,-0.0847
2020-04-24,1.2813,-1.2181
2020-04-27,1.2821,0.0624
2020-04-28,1.2943,0.9516
2020-04-29,1.2863,-0.6181
2020-04-30,1.3063,1.5548
2020-05-06,1.3149,0.6583
2020-05-07,1.3166,0.1293
2020-05-08,1.3356,1.4431
2020-05-11,1.3317,-0.292
2020-05-12,1.3328,0.0826
2020-05-13,1.3493,1.238
2020-05-14,1.3349,-1.0672
2020-05-15,1.3329,-0.1498
2020-05-18,1.3385,0.4201
2020-05-19,1.354,1.158
2020-05-20,1.3441,-0.7312
2020-05-21,1.3322,-0.8854
2020-05-22,1.3026,-2.2219
2020-05-25,1.3038,0.0921
2020-05-26,1.3278,1.8408
2020-05-27,1.3111,-1.2577
2020-05-28,1.3076,-0.267
2020-05-29,1.3224,1.1318
2020-06-01,1.3624,3.0248
2020-06-02,1.3593,-0.2275
2020-06-03,1.3631,0.2796
2020-06-04,1.3662,0.2274
2020-06-05,1.3722,0.4392
2020-06-08,1.381,0.6413
2020-06-09,1.3864,0.391
2020-06-10,1.3918,0.3895
2020-06-11,1.3831,-0.6251
2020-06-12,1.3868,0.2675
2020-06-15,1.3722,-1.0528
2020-06-16,1.4051,2.3976
2020-06-17,1.405,-0.0071
2020-06-18,1.4148,0.6975
2020-06-19,1.4324,1.244
2020-06-22,1.4336,0.0838
2020-06-23,1.4399,0.4395
2020-06-24,1.4481,0.5695
2020-06-29,1.445,-0.2141
2020-06-30,1.4757,2.1246
2020-07-01,1.4865,0.7319
2020-07-02,1.4957,0.6189
2020-07-03,1.5068,0.7421
2020-07-06,1.5555,3.232
2020-07-07,1.5889,2.1472
2020-07-08,1.6165,1.7371
2020-07-09,1.6512,2.1466
2020-07-10,1.6324,-1.1386
2020-07-13,1.6817,3.0201
2020-07-14,1.6551,-1.5817
2020-07-15,1.6452,-0.5982
2020-07-16,1.5664,-4.7897
2020-07-17,1.6041,2.4068
2020-07-20,1.6313,1.6957
2020-07-21,1.6461,0.9073
2020-07-22,1.6629,1.0206
2020-07-23,1.6544,-0.5112
2020-07-24,1.5731,-4.9142
2020-07-27,1.586,0.82
2020-07-28,1.6099,1.5069
2020-07-29,1.6378,1.733
2020-07-30,1.6356,-0.1343
2020-07-31,1.6517,0.9843
2020-08-03,1.6709,1.1624
2020-08-04,1.6696,-0.0778
2020-08-05,1.6869,1.0362
2020-08-06,1.6925,0.332
2020-08-07,1.6786,-0.8213
2020-08-10,1.6722,-0.3813
2020-08-11,1.6573,-0.891
