净值日期,累计净值
2019-01-02,1.6906
2019-01-03,1.6812
2019-01-04,1.6976
2019-01-07,1.71
2019-01-08,1.7108
2019-01-09,1.7131
2019-01-10,1.7088
2019-01-11,1.7153
2019-01-14,1.7066
2019-01-15,1.721
2019-01-16,1.7269
2019-01-17,1.7222
2019-01-18,1.7407
2019-01-21,1.7459
2019-01-22,1.7339
2019-01-23,1.7372
2019-01-24,1.7422
2019-01-25,1.7455
2019-01-28,1.7452
2019-01-29,1.7459
2019-01-30,1.7339
2019-01-31,1.7413
2019-02-01,1.7573
2019-02-11,1.7783
2019-02-12,1.7847
2019-02-13,1.7978
2019-02-14,1.798
2019-02-15,1.7935
2019-02-18,1.8266
2019-02-19,1.8198
2019-02-20,1.824
2019-02-21,1.8286
2019-02-22,1.8586
2019-02-25,1.8991
2019-02-26,1.8962
2019-02-27,1.8864
2019-02-28,1.8904
2019-03-01,1.9031
2019-03-04,1.9261
2019-03-05,1.9408
2019-03-06,1.943
2019-03-07,1.9246
2019-03-08,1.9224
2019-03-11,1.9524
2019-03-12,1.96
2019-03-13,1.9254
2019-03-14,1.9253
2019-03-15,1.9365
2019-03-18,1.9692
2019-03-19,1.9625
2019-03-20,1.953
2019-03-21,1.9551
2019-03-22,1.9507
2019-03-25,1.9381
2019-03-26,1.9243
2019-03-27,1.9442
2019-03-28,1.9563
2019-03-29,1.9944
2019-04-01,2.0359
2019-04-02,2.0218
2019-04-03,2.0241
2019-04-04,2.0374
2019-04-08,2.0279
2019-04-09,2.0302
2019-04-10,2.0374
2019-04-11,2.0107
2019-04-12,2.0128
2019-04-15,2.0094
2019-04-16,2.0369
2019-04-17,2.0448
2019-04-18,2.0406
2019-04-19,2.0511
2019-04-22,2.0574
2019-04-23,2.0497
2019-04-24,2.0607
2019-04-25,2.0466
2019-04-26,2.0354
2019-04-29,2.027
2019-04-30,2.033
2019-05-06,1.9666
2019-05-07,1.9712
2019-05-08,1.9512
2019-05-09,1.9406
2019-05-10,1.987
2019-05-13,1.9769
2019-05-14,1.9737
2019-05-15,1.9989
2019-05-16,1.9947
2019-05-17,1.9664
2019-05-20,1.9356
2019-05-21,1.9563
2019-05-22,1.9571
2019-05-23,1.9279
2019-05-24,1.9249
2019-05-27,1.9527
2019-05-28,1.9684
2019-05-29,1.9667
2019-05-30,1.9678
2019-05-31,1.974
2019-06-03,1.9833
2019-06-04,1.9694
2019-06-05,1.9622
2019-06-06,1.934
2019-06-10,1.9503
2019-06-11,1.9818
2019-06-12,1.971
2019-06-13,1.9747
2019-06-14,1.9606
2019-06-17,1.9582
2019-06-18,1.9735
2019-06-19,1.9844
2019-06-20,2.0009
2019-06-21,1.994
2019-06-24,1.9945
2019-06-25,1.987
2019-06-26,1.9998
2019-06-27,2.0198
2019-06-28,2.0195
2019-06-30,2.0195
2019-07-01,2.0505
2019-07-02,2.0617
2019-07-03,2.0415
2019-07-04,2.0288
2019-07-05,2.0475
2019-07-08,2.0415
2019-07-09,2.0424
2019-07-10,2.0365
2019-07-11,2.0385
2019-07-12,2.0383
2019-07-15,2.0594
2019-07-16,2.0572
2019-07-17,2.0589
2019-07-18,2.0499
2019-07-19,2.0576
2019-07-22,2.0464
2019-07-23,2.0522
2019-07-24,2.0687
2019-07-25,2.0819
2019-07-26,2.0835
2019-07-29,2.0928
2019-07-30,2.0921
2019-07-31,2.0815
2019-08-01,2.0805
2019-08-02,2.0769
2019-08-05,2.0652
2019-08-06,2.0572
2019-08-07,2.0532
2019-08-08,2.0692
2019-08-09,2.0474
2019-08-12,2.0746
2019-08-13,2.0679
2019-08-14,2.0699
2019-08-15,2.0657
2019-08-16,2.0702
2019-08-19,2.0796
2019-08-20,2.0795
2019-08-21,2.0735
2019-08-22,2.0745
2019-08-23,2.0776
2019-08-26,2.0747
2019-08-27,2.0956
2019-08-28,2.105
2019-08-29,2.1013
2019-08-30,2.0944
2019-09-02,2.1104
2019-09-03,2.1167
2019-09-04,2.1124
2019-09-05,2.1212
2019-09-06,2.1212
2019-09-09,2.1416
